m,lambda,wz,wtr,dt,mu,eps,Nx,Nt,nL,beta,dim,step,Dens (Re),Dens (Im),KE (Re),KE (Im),Lz (Re),Lz (Im),PhiSq (Re),PhiSq (Im),S (Re),S (Im),S_del (Re),S_del (Im),S_int (Re),S_int (Im),S_tau (Re),S_tau (Im),S_trap (Re),S_trap (Im),S_w (Re),S_w (Im),Vint (Re),Vint (Im),Vtr (Re),Vtr (Im)
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,570,0.060266916,0.014442065,0.044137365,0.000178843,-0.029642424,0.056758168,1.027640774,0.008183798,39.33500023,0.279687044,38.36762637,0.285945312,0,0,0.967373858,-0.006258268,0,0,0,0,2.064013088,2.064013088,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,580,0.050520358,0.032375853,0.042764362,0.000396541,-0.081755539,0.019676885,1.010757473,0.03085641,38.40153812,0.871120511,37.44130101,0.872639954,0,0,0.960237114,-0.001519443,0,0,0,0,1.969458717,1.969458717,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,590,0.07526115,0.025769298,0.041989696,0.000958178,-0.126539227,0.275378307,1.018805738,0.026191008,38.22117686,1.032607032,37.27763227,1.032185322,0,0,0.943544589,0.00042171,0,0,0,0,2.134970896,2.134970896,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,600,0.065585489,0.006105021,0.044024156,-0.00024657,-0.047128771,0.22610193,1.03563273,0.006574596,39.39762696,0.175785423,38.42757972,0.175315849,0,0,0.970047241,0.000469574,0,0,0,0,1.664525342,1.664525342,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,610,0.067006957,0.02631527,0.043904723,0.000703817,0.139196202,0.227297826,1.021750946,0.023526319,39.12837235,0.821569777,38.17362836,0.824358729,0,0,0.954743989,-0.002788952,0,0,0,0,1.395841917,1.395841917,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,620,0.055783455,0.025304731,0.046011489,0.000554164,0.029504594,0.109137248,1.02655301,0.030731076,40.00188282,0.858898703,39.03111327,0.853472357,0,0,0.970769555,0.005426345,0,0,0,0,1.953117614,1.953117614,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,630,0.048835376,0.02956558,0.045572906,0.000922783,-0.03254717,0.084026718,1.012806649,0.035003091,39.48703854,1.107669154,38.52306727,1.102231644,0,0,0.963971274,0.005437511,0,0,0,0,2.427619066,2.427619066,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,640,0.008782765,0.022680783,0.045619786,0.000965017,0.033918368,-0.131865517,0.972517542,0.02532963,38.6080475,0.96446148,37.64431273,0.961812632,0,0,0.963734777,0.002648848,0,0,0,0,2.080127374,2.080127374,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,650,0.015872588,-0.006858269,0.046728745,0.000552571,0.021009681,-0.175514448,0.976745873,-0.000308141,39.15827289,0.175421927,38.19739961,0.1688718,0,0,0.960873285,0.006550127,0,0,0,0,2.191929255,2.191929255,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,660,0.018405436,-0.02742904,0.046524478,0.00016646,-0.0022491,-0.234449308,0.983588245,-0.030325684,39.25184337,-0.526720598,38.28666056,-0.523823955,0,0,0.965182809,-0.002896644,0,0,0,0,1.732719066,1.732719066,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,670,0.00877666,-0.005598731,0.046577894,0.000690049,-0.173418823,-0.364633393,0.971738744,-0.014352165,38.95115331,-0.059298568,37.98819122,-0.050545134,0,0,0.962962084,-0.008753434,0,0,0,0,1.435713246,1.435713246,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,680,0.000105571,-0.004007663,0.045970275,0.001401512,-0.114548785,-0.136140871,0.952943167,-0.002923275,38.30772795,0.440139542,37.35489035,0.439055154,0,0,0.952837596,0.001084388,0,0,0,0,1.361570439,1.361570439,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,690,-0.011067304,-0.014730468,0.047572905,0.000734124,0.032673595,-0.141173515,0.96274763,-0.016382675,39.08145928,-0.156790708,38.10764435,-0.155138501,0,0,0.973814934,-0.001652207,0,0,0,0,1.502394009,1.502394009,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,700,0.012950943,-0.010566147,0.046175593,0.000509121,0.009546034,-0.117637658,0.975654791,-0.009004619,38.88653742,0.050782531,37.92383358,0.049221002,0,0,0.962703849,0.001561528,0,0,0,0,1.611174793,1.611174793,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,710,0.010836154,-0.011426557,0.046052136,-7.80E-05,0.07723197,0.070120195,0.974727807,-0.016097361,38.80542706,-0.267881793,37.8415354,-0.263210988,0,0,0.963891653,-0.004670804,0,0,0,0,1.956306548,1.956306548,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,720,0.014025186,-0.016901431,0.045045799,-0.000532412,0.004527574,0.263686512,0.979794925,-0.018542585,38.50800646,-0.582441155,37.54223672,-0.580800002,0,0,0.965769739,-0.001641154,0,0,0,0,1.999672658,1.999672658,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,730,0.00935962,-0.028746898,0.043612963,-0.000410688,-0.200651225,0.096107552,0.980128963,-0.030235182,38.02428477,-0.825128735,37.05351543,-0.823640451,0,0,0.970769343,-0.001488284,0,0,0,0,2.15792796,2.15792796,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,740,0.027166119,-0.035117316,0.043965523,-0.000484557,-0.363175927,0.138125849,0.981229828,-0.035586382,38.22408224,-0.992623885,37.27001853,-0.992154819,0,0,0.954063709,-0.000469066,0,0,0,0,1.718011524,1.718011524,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,750,0.021096059,-0.016030962,0.045417027,0.000224428,-0.131224715,0.042993443,0.991347138,-0.023773284,38.95660326,-0.447067989,37.98635218,-0.439325667,0,0,0.970251079,-0.007742322,0,0,0,0,1.487759271,1.487759271,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,760,0.018145281,-0.014814757,0.044703181,-0.000405371,0.015012953,-0.077211207,0.980179678,-0.012044957,38.53262211,-0.400432297,37.57058771,-0.403202096,0,0,0.962034397,0.002769799,0,0,0,0,1.994810064,1.994810064,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,770,0.011759692,-0.009718002,0.044730112,3.91E-05,-0.109862302,-0.078865361,0.981478228,-0.00794599,38.6458849,-0.054782016,37.67616637,-0.056554027,0,0,0.969718536,0.001772012,0,0,0,0,2.02206974,2.02206974,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,780,0.025764187,-0.00664088,0.044102021,-9.41E-05,0.010110885,-0.075510118,0.988372951,-0.00490778,38.44182936,-0.079207679,37.4792206,-0.080940779,0,0,0.962608764,0.0017331,0,0,0,0,2.47650174,2.47650174,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,790,0.032427583,-0.016463654,0.043622818,-0.000341884,-0.085342883,0.239004332,0.983384838,-0.015818481,38.16910967,-0.531385143,37.21815241,-0.532030316,0,0,0.950957255,0.000645172,0,0,0,0,1.774879738,1.774879738,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,800,0.033415993,0.010299983,0.044973369,-0.00065864,-0.05920292,0.317969683,0.998617319,0.004048114,38.96434645,-0.289740409,37.99914512,-0.28348854,0,0,0.965201326,-0.006251869,0,0,0,0,1.635097449,1.635097449,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,810,0.049331266,0.011230861,0.045269083,-0.000794577,-0.049198429,0.03138793,1.029449082,0.016671714,39.74008554,-0.03392784,38.75996772,-0.039368692,0,0,0.980117816,0.005440853,0,0,0,0,2.168870006,2.168870006,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,820,0.044372052,0.006282395,0.044234778,-0.000171587,-0.076918657,0.04069107,1.019333378,0.005683792,39.17941839,-0.036296236,38.20445707,-0.035697633,0,0,0.974961326,-0.000598603,0,0,0,0,2.273832336,2.273832336,0,0
1,0,0,0,0.05,-0.1,0.1,21,80,10000,4,2,830,0.036070809,0.006670385,0.045259537,0.000474005,-0.205701048,0.232942823,1.002904789,0.009723329,39.28012738,0.302065986,38.3132934,0.299013043,0,0,0.96683398,0.003052944,0,0,0,0,2.109198766,2.109198766,0,0
